CustomerID,FirstName,LastName,UrbanRural,Birthdate,StreetAddress,City,State,CountryCode,Zipcode,CreditScore,SignUpProgram
71,David D,Williams,Rural,1958-09-28,1868 Spirit Drive,White Springs,FL,US,32096,769.0,Always Gold
7,Sara M,Kozak,Urban,1998-12-01,4305 Oakdale Avenue,Plant City,FL,US,33566,559.0,bronze from the beg
10,Jarrod T,Knight,*Missing*,1955-01-31,3668 Newton Street,Lowry,MN,US,56349,657.0,Silver Sign Up
251,Lana T,Crossland,Urban,1980-07-16,4574 Arbor Court,Casper,WY,US,82601,327.0,Sign Up gold
409,Tomas R,Barnes,Urban,,2167 Bicetown Road,New York,NY,US,10016,509.0,Always Gold
424,Jonathan V,Spence,Urban,1967-12-31,4974 Meadow View Drive,Cheshire,CT,US,6410,499.0,Choice Golden Member
452,Ross S,Moore,Urban,1940-09-01,4661 Hickory Lane,Washington,DC,US,20017,678.0,Sign Up Bronzed
173,Gearldine C,Rust,Urban,,1305 Northwest Boulevard,Rochelle Park,NJ,US,7662,1667.0,Silver Sign Up
31,Raymond G,Batiste,Urban,1945-03-06,2703 Five Points,Baltimore,MD,US,21201,520.0,Bronze Member
449,James J,Knapp,Urban,1982-12-21,4732 Blue Spruce Lane,Hanover,MD,US,21076,543.0,Gold Sign Up
91,Matt E,Wagner,Urban,,475 Reynolds Alley,Los Angeles,CA,US,90017,529.0,Silver Sign Up
382,Claudia T,Platt,Urban,1994-01-18,4595 Five Points,Baltimore,MD,US,21201,667.0,Sign Up gold
132,Paulette ,Fowler,Urban,1844-02-09,2208 Tuna Street,Bloomfield Township,MI,US,48302,812.0,Choice Golden Member
365,Paula S,Gray,Rural,1976-11-28,2470 Gateway Avenue,Lost Hills,CA,US,93249,817.0,Choice Golden Member
74,Jarrett J,O'Neill,Urban,1985-05-05,2703 Ashford Drive,Dale City,VA,US,22193,730.0,Sign Up Bronzed
211,Jim C,Gomez,*Missing*,,3735 Simpson Square,Watonga,OK,US,73772,621.0,Gold Sign Up
330,Marian D,Flores,Urban,1936-12-27,1757 Franklin Street,Wicksburg,AL,US,36301,686.0,bronze from the beg
370,William J,Lewter,Urban,1979-12-16,262 Glenwood Avenue,Cleveland,OH,US,44114,539.0,Choice Golden Member
102,Doug F,Rosario,Urban,1973-05-08,3820 Bryan Street,Greensboro,NC,US,27403,654.0,Choice Golden Member
219,Maryetta B,Nelson,Urban,1967-03-13,2894 Waterview Lane,Albuquerque,NM,US,87102,737.0,Sign Up gold
155,Peter D,Ashton,Rural,1938-01-11,4343 Little Acres Lane,Neoga,IL,US,62447,,Sign Up Bronzed
226,Elizabeth T,Belcher,Urban,1991-07-15,1966 Kidd Avenue,Fairbanks,AK,US,99701,790.0,bronze from the beg
400,Kent ,Gentry,Urban,1986-08-29,1993 Todds Lane,San Antonio,TX,US,78225,657.0,Choice Golden Member
64,Mary J,Noda,Urban,1971-03-23,2767 Stockert Hollow Road,Everett,WA,US,98208,626.0,Sign Up Silver
3,Jody R,Gross,,,2701 Bagwell Avenue,Trilacoochee,FL,US,33537,311.0,bronze from the beg
442,Martha B,Ramirez,Urban,1937-09-28,2336 Whitman Court,Hartford,CT,US,6103,419.0,Always Gold
341,Allen ,Tolman,Urban,1946-04-02,2715 Catherine Drive,Jamestown,ND,US,58401,752.0,Sign Up gold
83,Rebecca S,Ham,*unknown*,1979-11-24,1777 Cherry Ridge Drive,Rochester,NY,US,14608,712.0,Sign Up Silver
285,Lois M,Toomey,*Missing*,1949-01-27,4190 Hide A Way Road,San Jose,CA,US,95113,582.0,bronze from the beg
210,Heidi J,Land,Urban,1856-03-20,1630 Ralph Drive,Independence,OH,US,44131,777.0,Silver Sign Up
472,Pauline T,Carter,Urban,1967-05-27,175 Mulberry Lane,West Palm Beach,FL,US,33401,614.0,Sign Up Silver
182,Joseph M,Burger,Urban,1948-11-21,849 Grasselli Street,Seabrook,NH,US,3874,568.0,Bronze Member
78,Florence J,Temple,Urban,1950-02-20,104 Diamond Cove,West Warwick,RI,US,2893,609.0,silver from the StartBronze Sign Up
297,Nancy C,White,Urban,1974-05-24,4275 Caynor Circle,South Plainfield,NJ,US,7080,1617.0,bronze from the beg
453,Michael G,Couch,Urban,1936-07-14,134 Wiseman Street,Knoxville,TN,US,37917,770.0,bronze from the beg
496,Lydia C,Rose,Urban,1957-10-29,4408 Candlelight Drive,Baytown,TX,US,77520,784.0,Bronze Member
426,James A,Ortiz,Urban,1938-07-25,1674 Main Street,Everett,WA,US,98204,528.0,Always Gold
34,Lynn D,Miller,Urban,1976-08-20,299 Scheuvront Drive,Boulder,CO,US,80302,655.0,Always Gold
80,Michele W,Barnett,Urban,1971-12-05,1623 Prudence Street,Dearborn,MI,US,48126,705.0,Sign Up Bronzed
418,Lance D,Chaparro,Rural,1948-01-17,2836 Seltice Way,Albion,ID,US,83311,630.0,Choice Golden Member
168,Ruth R,Koski,Urban,1980-03-14,3800 Bubby Drive,Austin,TX,US,78701,644.0,Sign Up Silver
69,David F,Moore,Urban,1947-04-09,567 Johnstown Road,Bensenville,IL,US,60106,793.0,Choice Golden Member
1,Lamont ,Fernandez,Urban,1950-07-29,435 Worley Avenue,Lynchburg,VA,US,24551,627.0,Sign Up Bronzed
85,Eugene ,Tyler,Urban,1978-01-24,3084 Pritchard Court,Mankato,MN,US,56001,587.0,bronze from the beg
12,Roger L,Sims,Urban,1981-01-24,2738 Sunny Glen Lane,Shaker Heights,OH,US,44120,694.0,Bronze Member
230,Alexis ,Kelley,Rural,1970-02-21,4069 Southern Avenue,Knoxville,IA,US,50138,770.0,bronze from the beg
23,Edward S,Vanderpool,Rural,1988-10-07,1340 Pick Street,Telluride,CO,US,81435,599.0,Bronze Member
324,Scott N,Mungia,Urban,1971-03-14,1576 Massachusetts Avenue,Washington,DC,US,20024,522.0,Silver Sign Up
79,Ines W,Mendivil,Urban,1986-05-16,1379 Ethels Lane,Lakeland,FL,US,33813,712.0,Sign Up Silver
248,Chelsey O,Hernandez,Rural,1941-01-28,2264 Fantages Way,Salem,ME,US,4983,627.0,Choice Golden Member
73,Paul T,Barrett,Urban,,4170 Parrish Avenue,Salinas,CA,US,93901,540.0,Silver Sign Up
475,William ,Ayers,Urban,1986-05-24,890 Westwood Avenue,Long Island City,NY,US,11101,789.0,Sign Up gold
336,Ann A,Ellis,Urban,1957-11-02,531 Rockford Road,Worcester,MA,US,1608,449.0,Silver Sign Up
19,John J,Wilson,Urban,,265 Owagner Lane,Tukwila,WA,US,98168,541.0,Bronze Member
281,Stacy V,Scott,Urban,1946-06-30,686 Poplar Avenue,San Diego,CA,US,92103,758.0,Sign Up Bronzed
125,Heather R,Britt,Urban,1954-01-27,613 Jefferson Street,Norfolk,VA,US,23502,750.0,Silver Sign Up
443,Gerald ,Gagne,,1972-01-23,1978 Flint Street,Saipan,MP,US,96950,657.0,Silver Sign Up
249,Anthony T,Lavigne,Urban,1990-09-15,3544 Oliverio Drive,Wichita,KS,US,67202,692.0,Sign Up gold
40,Helen R,Perry,Urban,1976-04-11,1939 Mahlon Street,Red Bank,NJ,US,7701,1712.0,bronze from the beg
461,Kenneth J,Ray,Rural,1984-06-18,2536 Peck Street,Sutton,NH,US,3221,531.0,Silver Sign Up
47,Charles D,Stewart,Urban,1951-10-17,747 Ersel Street,Dallas,TX,US,75216,772.0,Choice Golden Member
302,Irene ,Shanks,Urban,1968-09-07,1195 John Calvin Drive,Chicago,IL,US,60605,756.0,Sign Up gold
196,Linda P,Peebles,Urban,1987-11-26,1423 Irving Place,Fenton,MO,US,63026,785.0,Sign Up gold
359,Jacqueline ,Griffen,Urban,1951-10-23,542 Liberty Street,Dallas,TX,US,75204,722.0,Silver Sign Up
105,Cathy C,Lawson,Urban,1980-11-03,1177 Archwood Avenue,Casper,WY,US,82601,772.0,Sign Up Bronzed
282,Jo J,Thomas,Rural,1960-10-02,852 Gregory Lane,Campbellsburg,KY,US,40011,769.0,silver from the StartBronze Sign Up
149,Damon C,Clark,Urban,1964-11-17,3061 Patterson Fork Road,Chicago,IL,US,60654,662.0,Silver Sign Up
156,Lisa S,Mills,Urban,1969-05-05,4525 Spruce Drive,Portland,PA,US,97205,710.0,silver from the StartBronze Sign Up
447,Mathew L,Candelaria,Urban,1991-10-15,2276 Raccoon Run,Seattle,WA,US,98122,727.0,Silver Sign Up
183,Travis A,Payne,Urban,1892-11-30,46 Cityview Drive,Bryn Mawr,PA,US,19010,713.0,Always Gold
70,Reuben H,Pyburn,Urban,,2927 Crim Lane,Cario,OH,US,45820,668.0,Gold Sign Up
245,Richard ,Marquez,Rural,1991-03-22,4989 Moonlight Drive,Hammonton,NJ,US,8037,1724.0,silver from the StartBronze Sign Up
299,Robert D,Trask,Urban,1941-03-23,4905 Worley Avenue,Lynchburg,VA,US,24551,826.0,Always Gold
413,Ruth C,Arvidson,Urban,1973-04-05,1457 Rubaiyat Road,Grand Rapids,MI,US,49503,729.0,silver from the StartBronze Sign Up
3,Jody R,Gross,,,2701 Bagwell Avenue,Trilacoochee,FL,US,33537,311.0,bronze from the beg
303,Amanda G,Palmer,Urban,,4899 Briarhill Lane,Akron,OH,US,44311,695.0,Choice Golden Member
494,James M,Bright,,1984-02-05,3408 Berkley Street,Newark,PA,US,19714,580.0,Sign Up gold
181,Lois D,Wright,Urban,1937-09-29,3999 Lincoln Street,Egg Harbor,NJ,US,8232,1679.0,bronze from the beg
375,Chelsea ,Knight,Urban,1952-04-19,1445 Granville Lane,Lyndhurst,NJ,US,7071,1462.0,Sign Up Silver
133,Michael K,Rasmussen,Urban,1991-01-15,1305 Hickory Heights Drive,Hanover,MD,US,21076,662.0,Silver Sign Up
342,Florence A,Clark,Urban,1982-11-10,3825 Nixon Avenue,Knoxville,TN,US,37917,796.0,silver from the StartBronze Sign Up
438,John D,Berman,Urban,1942-01-13,2151 Seneca Drive,Tigard,OR,US,97223,471.0,Always Gold
177,Josie ,Powell,Urban,1996-07-08,284 Oakmound Road,Chicago,IL,US,60605,690.0,Gold Sign Up
311,Paul J,Hight,*Missing*,1945-01-05,974 Dovetail Drive,Des Plaines,IL,US,60016,776.0,Bronze Member
350,Lynette ,Ensign,Urban,1990-10-15,260 Cook Hill Road,East Haven,CT,US,6512,468.0,Sign Up gold
486,Kyung B,Petersen,Rural,1976-01-08,1785 Marcus Street,Geraldine,AL,US,35974,679.0,Gold Sign Up
138,Megan J,Berry,*unknown*,1952-06-12,223 Oak Street,Canton,NY,US,13617,619.0,Sign Up Silver
498,Boyd J,Eason,Rural,1958-03-20,3103 Mercer Street,Peshtigo,WI,US,54157,744.0,Gold Sign Up
272,Ruth R,Dupont,*Missing*,1995-05-09,378 Roguski Road,Alexandria,LA,US,71301,601.0,Choice Golden Member
441,Robert J,Brown,Urban,1839-10-30,3358 Medical Center Drive,Tampa,FL,US,33602,677.0,Sign Up gold
354,Kenneth P,Riddle,Urban,1969-02-15,2275 Franklee Lane,Philadelphia,PA,US,19107,583.0,silver from the StartBronze Sign Up
87,Lauren S,Mendez,Urban,,4183 Cook Hill Road,New Haven,CT,US,6511,629.0,Sign Up gold
76,Teresa J,Sand,Urban,1952-02-22,454 Pratt Avenue,Redmond,WA,US,98052,551.0,Always Gold
448,Norbert M,Solis,Urban,1938-08-14,3040 Raccoon Run,Seattle,WA,US,98109,775.0,Choice Golden Member
16,Michael D,Webb,*Missing*,1959-10-12,2815 Argonne Street,Felton,DE,US,19943,,bronze from the beg
204,Eddie N,Gann,Urban,1938-06-07,282 Adonais Way,Atlanta,GA,US,30310,682.0,Bronze Member
275,Orlando M,Gentry,Rural,1986-02-10,3352 Primrose Lane,Yuba,WI,US,54634,816.0,Gold Sign Up
394,James B,Adams,Urban,1971-05-15,3469 Pinchelone Street,Norfolk,VA,US,23502,458.0,bronze from the beg
20,Woodrow S,Payne,Urban,1944-08-22,1011 Tyler Avenue,Hialeah,FL,US,33012,564.0,Sign Up Bronzed
454,Scott D,Ek,Rural,1978-12-12,930 Drainer Avenue,Marianna,FL,US,32448,834.0,bronze from the beg
339,Marion M,Chapman,Rural,1978-11-27,500 Sigley Road,Marysville,KS,US,66508,744.0,Always Gold
57,Mitzi R,Nickols,Urban,1984-11-25,1852 Asylum Avenue,New York,CT,US,10013,665.0,Sign Up Bronzed
334,Kimberly M,Goldberg,Urban,1963-06-28,3401 Milford Street,Portsmouth,NH,US,3801,652.0,Sign Up Bronzed
2,Aaron P,McWhorter,Urban,1997-11-19,2746 Michigan Ave,Gibsonia,PA,US,15044,704.0,Bronze Member
239,William K,James,Urban,1947-02-09,2542 Junior Avenue,Norcross,GA,US,30093,631.0,Silver Sign Up
406,Dave J,Goodwin,,1952-04-04,1142 Bartlett Avenue,Birmingham,MI,US,48011,795.0,Sign Up gold
308,Neil L,Kim,Urban,1994-05-30,4808 Reppert Coal Road,Ridgeland,MS,US,39157,573.0,bronze from the beg
469,Karen R,Cain,Urban,1972-03-12,3202 Spring Street,Champaign,IL,US,61820,655.0,Gold Sign Up
432,Peter S,Bryan,Urban,1996-02-21,1076 White Oak Drive,Raytown,MO,US,64133,635.0,Bronze Member
490,Eric H,Hardy,Rural,1986-02-17,1062 Kessla Way,Conway,SC,US,29527,599.0,silver from the StartBronze Sign Up
26,Jeffrey K,Barton,Urban,1998-03-31,749 Nelm Street,Saint Louis,MO,US,63101,765.0,bronze from the beg
366,Stanley R,Snow,*unknown*,1970-03-05,1687 Pearl Street,Rancho Cordova,CA,US,95742,681.0,Choice Golden Member
43,Vickie R,Sanchez,Urban,1971-08-27,699 Vesta Drive,Chicago,IL,US,60640,590.0,Always Gold
141,James E,Mascarenas,,1942-11-11,1228 Pine Garden Lane,Alpharetta,GA,US,30201,661.0,Bronze Member
419,Frederick J,Cassity,Urban,1962-12-03,1150 Snider Street,Centennial,CO,US,80112,736.0,bronze from the beg
317,Matthew J,Holmes,Urban,1981-05-19,3474 Richland Avenue,Tomball,TX,US,77375,706.0,Gold Sign Up
127,Sara ,Mills,Urban,,3450 Hickory Lane,Washington,DC,US,20020,660.0,Silver Sign Up
333,Edith F,Strout,Urban,1939-10-28,2449 Memory Lane,Dekalb,IL,US,60115,572.0,silver from the StartBronze Sign Up
32,Timothy ,Roberts,Urban,1960-10-08,4073 Woodland Terrace,Sacramento,CA,US,95814,628.0,Always Gold
114,Henry N,Thomas,Urban,1984-11-28,4586 Adams Avenue,Frederick,MD,US,21701,697.0,Silver Sign Up
154,Kenneth J,Wilson,Urban,1955-02-23,2639 Woodland Terrace,Sacramento,CA,US,95827,565.0,Choice Golden Member
212,Amy J,O'Donnell,Urban,1964-06-20,4715 Emily Renzelli Boulevard,San Jose,CA,US,95113,807.0,bronze from the beg
423,Christopher ,Lancaster,Urban,1948-01-19,4149 Upton Avenue,Waterville,ME,US,4901,441.0,Sign Up gold
58,Samuel ,Wheeler,Urban,1945-09-08,4339 Elk Rd Little,Tucson,AZ,US,85706,544.0,Sign Up Bronzed
267,Ruth D,Ramsey,Rural,1947-05-31,3793 Berry Street,Saguache,CO,US,81149,690.0,Choice Golden Member
25,Leslie L,Adair,Urban,1982-11-03,2035 Seltice Way,Boise,ID,US,83702,756.0,Bronze Member
18,Barbara N,Edwards,*Missing*,1938-12-12,412 Ashwood Drive,Spencer,IA,US,51301,662.0,silver from the StartBronze Sign Up
186,Shannon S,Gonzales,Rural,1955-03-13,1432 Glory Road,Ethridge,TN,US,38456,729.0,Sign Up gold
67,Denver S,Harkins,Urban,1954-05-12,104 Cedar Street,Pine Bluff,AR,US,71601,688.0,Sign Up gold
403,Earl P,Perry,Urban,1949-12-12,3892 Winifred Way,Bunker Hill,IN,US,46914,465.0,Sign Up Silver
397,Lawrence N,Myers,Urban,1943-10-29,1423 Fairfax Drive,Los Angeles,CA,US,90017,617.0,Bronze Member
95,Mabel T,Ashley,Urban,1983-07-15,1617 Lauren Drive,Madison,WI,US,53703,,Sign Up gold
497,Julie A,Rice,Urban,1960-09-06,3366 Rosebud Avenue,Little Rock,AR,US,72212,788.0,Silver Sign Up
355,Mike G,Rainbolt,Urban,1953-08-04,2922 Lynn Ogden Lane,Beaumont,TX,US,77701,680.0,Bronze Member
24,Frances J,Kasten,Urban,1942-11-18,3759 Late Avenue,Oklahoma City,OK,US,73129,696.0,Bronze Member
232,Perry ,Duhon,Rural,1994-10-14,1925 Locust Street,Pavo,GA,US,31778,659.0,silver from the StartBronze Sign Up
266,Allison J,Donovan,Urban,1991-12-23,3105 White Oak Drive,Kansas City,MO,US,64108,602.0,Sign Up Bronzed
209,Rebecca D,Donelson,Urban,1958-01-28,2784 Joy Lane,Sherman Oaks,CA,US,91403,781.0,Silver Sign Up
6,Giovanna B,Landry,Urban,1986-08-23,4189 Daylene Drive,Pontiac,MI,US,48342,516.0,Silver Sign Up
117,Patricia H,Rash,Urban,1961-10-12,2275 Winding Way,Providence,RI,US,2906,713.0,Always Gold
46,Shawn J,Curtis,Urban,1954-12-15,2458 Hillview Street,Columbia,SC,US,29201,634.0,bronze from the beg
395,Felix S,Lawson,Rural,1987-08-28,2539 Simons Hollow Road,Huntington Mills,PA,US,18622,670.0,Choice Golden Member
17,James G,Phillips,Rural,1962-11-07,3758 Graystone Lakes,Milledgeville,GA,US,31061,627.0,Always Gold
473,John ,Hick,Urban,1944-04-23,4038 Deans Lane,New York,NY,US,10011,631.0,bronze from the beg
462,Buddy N,Easley,Rural,1893-04-08,3517 Cedar Street,Dierks,AR,US,71833,732.0,Sign Up Silver
4,Philip K,Hogan,Urban,1946-07-11,2898 Chatham Way,Chantilly,MD,US,20151,596.0,Sign Up Bronzed
228,Angel E,Martinelli,Urban,1956-03-17,1105 Lakewood Drive,Secaucus,NJ,US,7094,1758.0,Sign Up Silver
483,Linda B,Hardin,Urban,1939-11-02,4253 Matthews Street,Coal City,IL,US,60416,662.0,Bronze Member
61,Robert T,Samples,Urban,1960-09-15,3373 Adams Avenue,Frederick,MD,US,21701,522.0,Sign Up gold
111,James ,Nicosia,*Missing*,1855-03-14,405 Pearl Street,Sacramento,CA,US,95826,554.0,Sign Up gold
325,Jesus I,Mader,Urban,1857-12-26,1527 Rivendell Drive,Alliance,OH,US,44601,651.0,Silver Sign Up
298,Pam D,Bennett,Urban,,1732 Franklin Avenue,Corpus Christi,TX,US,78401,508.0,Sign Up gold
30,Marisol ,Frantz,Urban,,2566 Thompson Drive,Oakland,CA,US,94607,757.0,Silver Sign Up
193,Cheryl R,Evans,Urban,1976-03-23,1608 Farland Street,Wheeling,IL,US,60090,708.0,Always Gold
465,Chelsey G,Batista,Urban,1972-07-09,4724 Lochmere Lane,Hartford,CT,US,6103,734.0,Gold Sign Up
27,Patricia ,Nader,,1943-10-01,2715 Arbor Court,Cheyenne,WY,US,82003,512.0,Choice Golden Member
8,Michael ,Frasier,Urban,1938-07-05,3491 Commerce Boulevard,Lincoln,NE,US,68508,608.0,Always Gold
463,Wanda G,Brown,Urban,1968-07-03,218 Hamilton Drive,Beaumont,TX,US,77701,544.0,Choice Golden Member
109,Wade C,Knight,Urban,1871-03-29,1399 Leisure Lane,Moorpark,CA,US,93021,695.0,Sign Up Silver
38,Victor ,Jackson,Rural,1962-07-04,3335 Arrowood Drive,Jacksonville,FL,US,32044,740.0,Bronze Member
158,Reginald D,Johnson,Urban,1997-05-19,556 Pike Street,San Diego,CA,US,92123,667.0,Always Gold
477,Mary ,Fox,,1958-02-09,966 Sharon Lane,South Bend,IN,US,46625,703.0,Always Gold
119,Summer ,Wells,Rural,1951-02-04,366 Green Acres Road,Coinjock,NC,US,27923,,Sign Up Bronzed
115,Barbara R,Beal,Urban,1958-09-30,1528 Wilmar Farm Road,Greenbelt,MD,US,20770,498.0,Choice Golden Member
176,Virgil C,Gregory,Urban,1982-06-23,1576 Hidden Pond Road,Nashville,TN,US,37201,711.0,bronze from the beg
195,Gladys ,Hinson,Urban,1972-06-22,4805 Williams Avenue,Burbank,CA,US,91504,771.0,silver from the StartBronze Sign Up
319,Ben N,Matta,Urban,1964-05-06,2368 Golden Ridge Road,North Greenbush,NY,US,12180,580.0,Sign Up Bronzed
145,Abby ,Vachon,Urban,1976-02-07,4254 Bassel Street,Hammond,LA,US,70401,479.0,Sign Up Bronzed
377,Stephen C,Burnham,Urban,1958-12-16,3588 Gorby Lane,Jackson,MS,US,39213,,Sign Up gold
430,Michael D,Russell,,1995-05-27,2476 Saint Clair Street,Oakland,MS,US,39848,711.0,bronze from the beg
205,Ada A,Leblanc,Urban,1953-04-08,403 Buckhannan Avenue,East Syracuse,NY,US,13057,620.0,Gold Sign Up
322,Keith ,Scruggs,Urban,1979-08-13,29 Nash Street,Detroit,MI,US,48219,676.0,Bronze Member
363,Eula L,Cook,,1960-11-24,4915 Valley Drive,Philadelphia,PA,US,19108,768.0,silver from the StartBronze Sign Up
455,Morgan D,Bueno,Urban,1981-12-04,2954 Longview Avenue,Jamaica,NY,US,11432,701.0,Silver Sign Up
142,Selma J,Loftis,Urban,1990-02-24,2770 Daffodil Lane,Quantico,VA,US,22134,539.0,Always Gold
495,Donald M,Irwin,Rural,1990-03-16,609 Mulberry Avenue,Pleasant Plains,AR,US,72568,615.0,Silver Sign Up
68,David V,Clark,Rural,1939-11-14,1729 Ray Court,Laurinburg,NC,US,28352,651.0,Choice Golden Member
262,Marie J,Lee,Urban,1936-09-06,4646 Argonne Street,Philadelphia,DE,US,19103,749.0,Sign Up Silver
169,Mary J,Worthington,Rural,1838-10-03,3550 Shady Pines Drive,Salem,KY,US,42078,673.0,bronze from the beg
5,Brad S,Watson,,,723 Poling Farm Road,Lincoln,NE,US,68501,544.0,Sign Up gold
384,June ,Merrick,Urban,1945-12-26,3066 Main Street,Bellevue,WA,US,98004,566.0,Sign Up Silver
246,Geoffrey S,Trejo,,1992-07-30,1857 Glenview Drive,Corpus Christi,TX,US,78476,675.0,bronze from the beg
194,Ella M,Robin,Urban,1942-09-20,4538 Clarksburg Park Road,Phoenix,AZ,US,85012,719.0,Choice Golden Member
256,Brandon M,McLennan,Urban,1973-02-24,4231 Hinkle Lake Road,Cambridge,MA,US,2141,738.0,Choice Golden Member
110,Carrie M,Duncan,Urban,1941-07-26,1622 Jerry Dove Drive,Myrtle Beach,SC,US,29577,845.0,Sign Up Bronzed
488,Krystina T,Martin,Urban,1979-04-13,4984 Giraffe Hill Drive,Plano,TX,US,75074,415.0,Sign Up gold
146,Teresa ,Torres,*Missing*,1948-11-24,566 Middleville Road,El Monte,CA,US,91731,525.0,Gold Sign Up
93,Justin G,Vargas,Urban,1992-07-17,793 Oakridge Lane,Dallas,TX,US,75234,635.0,silver from the StartBronze Sign Up
153,Carmen J,Ellis,Urban,1968-01-28,4687 Bicetown Road,New York,NY,US,10013,664.0,Sign Up gold
229,Jean R,Myers,Urban,1965-06-20,4693 Armory Road,Wilmington,NC,US,28401,744.0,Gold Sign Up
417,Jane ,Warren,Urban,1945-12-21,3738 Marcus Street,Huntsville,AL,US,35816,744.0,Always Gold
84,Travis H,Littlefield,Urban,1955-07-28,3191 Doe Meadow Drive,Annapolis Junction,MD,US,20701,609.0,Sign Up Silver
273,Alvin ,Love,Urban,1973-07-19,680 Middleville Road,Los Angeles,CA,US,90017,677.0,Bronze Member
166,Gregory S,Trahan,Urban,1950-05-11,342 Charack Road,Jasper,IN,US,47546,441.0,Always Gold
164,Marie R,Stewart,Urban,1965-04-03,684 Hemlock Lane,Harlingen,TX,US,78550,738.0,Choice Golden Member
200,Wendy ,Lewis,Urban,1961-05-24,803 Black Oak Hollow Road,San Jose,CA,US,95113,796.0,Gold Sign Up
238,Marvin W,Oshiro,Urban,,2744 Hayhurst Lane,Southfield,MI,US,48235,670.0,Sign Up Silver
75,Greg B,Hall,Urban,1973-06-11,2683 Raintree Boulevard,Coon Rapids,MN,US,55448,622.0,Sign Up Bronzed
315,Mitchell J,Rangel,Urban,1943-05-03,3884 Myra Street,Providence,RI,US,2903,562.0,silver from the StartBronze Sign Up
223,Patrick ,Graves,Urban,,3861 Nutters Barn Lane,Urbandale,IA,US,50322,537.0,Sign Up Silver
480,Terry R,Adams,Urban,1993-12-07,4930 Hilltop Drive,Amarillo,TX,US,79109,653.0,bronze from the beg
120,David P,Brown,Urban,1989-06-01,305 Middleville Road,Pomona,CA,US,91766,533.0,Sign Up Bronzed
287,Pedro ,Jones,Urban,1998-05-25,4653 Rosemont Avenue,Melbourne,FL,US,32935,654.0,Sign Up Silver
305,Ronald N,Warren,Urban,,3197 James Martin Circle,Worthington,OH,US,43085,550.0,Always Gold
425,Steven R,Lewis,Urban,1947-12-14,480 Ferguson Street,Boston,MA,US,2199,637.0,Sign Up Silver
361,Bruce A,Eidson,Urban,1983-12-02,268 Lyndon Street,Allentown,PA,US,18101,596.0,Choice Golden Member
408,Mary G,Koh,Urban,1995-07-06,3291 Rosewood Lane,New York,NY,US,10014,586.0,Sign Up gold
235,Alexia ,Hardin,Urban,,3832 Sycamore Fork Road,Minneapolis,MN,US,55402,645.0,Silver Sign Up
381,Timothy S,Wilson,Urban,1980-07-02,2776 Northwest Boulevard,Kearny,NJ,US,7032,1633.0,Always Gold
479,Jack ,Bernhardt,Urban,1996-02-26,3271 Henry Ford Avenue,New York,NY,US,10016,457.0,Choice Golden Member
391,Bryan R,Fontenot,Urban,1944-07-12,1416 Boggess Street,Enon,OH,US,45323,568.0,bronze from the beg
