CustomerID,FirstName,LastName,UrbanRural,Birthdate,StreetAddress,City,State,CountryCode,Zipcode,CreditScore,SignUpProgram,MiddleInitial,SignUpProgramClean,urban_rural_alt,UrbanRural_cat,UrbanRural_renamed
251,Lana,Crossland,Urban,1980-07-16,4574 Arbor Court,Casper,WY,US,82601,327.0,Sign Up gold,T,Gold,City Folk,Urban,City
409,Tomas,Barnes,Urban,,2167 Bicetown Road,New York,NY,US,10016,509.0,Always Gold,R,Gold,City Folk,Urban,City
424,Jonathan,Spence,Urban,1967-12-31,4974 Meadow View Drive,Cheshire,CT,US,6410,499.0,Choice Golden Member,V,Gold,City Folk,Urban,City
452,Ross,Moore,Urban,1940-09-01,4661 Hickory Lane,Washington,DC,US,20017,678.0,Sign Up Bronzed,S,Bronze,City Folk,Urban,City
173,Gearldine,Rust,Urban,,1305 Northwest Boulevard,Rochelle Park,NJ,US,7662,1667.0,Silver Sign Up,C,Silver,City Folk,Urban,City
31,Raymond,Batiste,Urban,1945-03-06,2703 Five Points,Baltimore,MD,US,21201,520.0,Bronze Member,G,Bronze,City Folk,Urban,City
449,James,Knapp,Urban,1982-12-21,4732 Blue Spruce Lane,Hanover,MD,US,21076,543.0,Gold Sign Up,J,Gold,City Folk,Urban,City
91,Matt,Wagner,Urban,,475 Reynolds Alley,Los Angeles,CA,US,90017,529.0,Silver Sign Up,E,Silver,City Folk,Urban,City
382,Claudia,Platt,Urban,1994-01-18,4595 Five Points,Baltimore,MD,US,21201,667.0,Sign Up gold,T,Gold,City Folk,Urban,City
132,Paulette,Fowler,Urban,1844-02-09,2208 Tuna Street,Bloomfield Township,MI,US,48302,812.0,Choice Golden Member,,Gold,City Folk,Urban,City
365,Paula,Gray,Rural,1976-11-28,2470 Gateway Avenue,Lost Hills,CA,US,93249,817.0,Choice Golden Member,S,Gold,Rural,Rural,Outlying Areas
74,Jarrett,O'Neill,Urban,1985-05-05,2703 Ashford Drive,Dale City,VA,US,22193,730.0,Sign Up Bronzed,J,Bronze,City Folk,Urban,City
211,Jim,Gomez,*Missing*,,3735 Simpson Square,Watonga,OK,US,73772,621.0,Gold Sign Up,C,Gold,*Missing*,,
330,Marian,Flores,Urban,1936-12-27,1757 Franklin Street,Wicksburg,AL,US,36301,686.0,bronze from the beg,D,Bronze,City Folk,Urban,City
370,William,Lewter,Urban,1979-12-16,262 Glenwood Avenue,Cleveland,OH,US,44114,539.0,Choice Golden Member,J,Gold,City Folk,Urban,City
102,Doug,Rosario,Urban,1973-05-08,3820 Bryan Street,Greensboro,NC,US,27403,654.0,Choice Golden Member,F,Gold,City Folk,Urban,City
219,Maryetta,Nelson,Urban,1967-03-13,2894 Waterview Lane,Albuquerque,NM,US,87102,737.0,Sign Up gold,B,Gold,City Folk,Urban,City
155,Peter,Ashton,Rural,1938-01-11,4343 Little Acres Lane,Neoga,IL,US,62447,,Sign Up Bronzed,D,Bronze,Rural,Rural,Outlying Areas
226,Elizabeth,Belcher,Urban,1991-07-15,1966 Kidd Avenue,Fairbanks,AK,US,99701,790.0,bronze from the beg,T,Bronze,City Folk,Urban,City
400,Kent,Gentry,Urban,1986-08-29,1993 Todds Lane,San Antonio,TX,US,78225,657.0,Choice Golden Member,,Gold,City Folk,Urban,City
64,Mary,Noda,Urban,1971-03-23,2767 Stockert Hollow Road,Everett,WA,US,98208,626.0,Sign Up Silver,J,Silver,City Folk,Urban,City
3,Jody,Gross,,,2701 Bagwell Avenue,Trilacoochee,FL,US,33537,311.0,bronze from the beg,R,Bronze,,,
442,Martha,Ramirez,Urban,1937-09-28,2336 Whitman Court,Hartford,CT,US,6103,419.0,Always Gold,B,Gold,City Folk,Urban,City
341,Allen,Tolman,Urban,1946-04-02,2715 Catherine Drive,Jamestown,ND,US,58401,752.0,Sign Up gold,,Gold,City Folk,Urban,City
83,Rebecca,Ham,*unknown*,1979-11-24,1777 Cherry Ridge Drive,Rochester,NY,US,14608,712.0,Sign Up Silver,S,Silver,*unknown*,,
285,Lois,Toomey,*Missing*,1949-01-27,4190 Hide A Way Road,San Jose,CA,US,95113,582.0,bronze from the beg,M,Bronze,*Missing*,,
210,Heidi,Land,Urban,1856-03-20,1630 Ralph Drive,Independence,OH,US,44131,777.0,Silver Sign Up,J,Silver,City Folk,Urban,City
472,Pauline,Carter,Urban,1967-05-27,175 Mulberry Lane,West Palm Beach,FL,US,33401,614.0,Sign Up Silver,T,Silver,City Folk,Urban,City
182,Joseph,Burger,Urban,1948-11-21,849 Grasselli Street,Seabrook,NH,US,3874,568.0,Bronze Member,M,Bronze,City Folk,Urban,City
78,Florence,Temple,Urban,1950-02-20,104 Diamond Cove,West Warwick,RI,US,2893,609.0,silver from the StartBronze Sign Up,J,Silver,City Folk,Urban,City
297,Nancy,White,Urban,1974-05-24,4275 Caynor Circle,South Plainfield,NJ,US,7080,1617.0,bronze from the beg,C,Bronze,City Folk,Urban,City
453,Michael,Couch,Urban,1936-07-14,134 Wiseman Street,Knoxville,TN,US,37917,770.0,bronze from the beg,G,Bronze,City Folk,Urban,City
496,Lydia,Rose,Urban,1957-10-29,4408 Candlelight Drive,Baytown,TX,US,77520,784.0,Bronze Member,C,Bronze,City Folk,Urban,City
426,James,Ortiz,Urban,1938-07-25,1674 Main Street,Everett,WA,US,98204,528.0,Always Gold,A,Gold,City Folk,Urban,City
34,Lynn,Miller,Urban,1976-08-20,299 Scheuvront Drive,Boulder,CO,US,80302,655.0,Always Gold,D,Gold,City Folk,Urban,City
80,Michele,Barnett,Urban,1971-12-05,1623 Prudence Street,Dearborn,MI,US,48126,705.0,Sign Up Bronzed,W,Bronze,City Folk,Urban,City
418,Lance,Chaparro,Rural,1948-01-17,2836 Seltice Way,Albion,ID,US,83311,630.0,Choice Golden Member,D,Gold,Rural,Rural,Outlying Areas
168,Ruth,Koski,Urban,1980-03-14,3800 Bubby Drive,Austin,TX,US,78701,644.0,Sign Up Silver,R,Silver,City Folk,Urban,City
69,David,Moore,Urban,1947-04-09,567 Johnstown Road,Bensenville,IL,US,60106,793.0,Choice Golden Member,F,Gold,City Folk,Urban,City
1,Lamont,Fernandez,Urban,1950-07-29,435 Worley Avenue,Lynchburg,VA,US,24551,627.0,Sign Up Bronzed,,Bronze,City Folk,Urban,City
85,Eugene,Tyler,Urban,1978-01-24,3084 Pritchard Court,Mankato,MN,US,56001,587.0,bronze from the beg,,Bronze,City Folk,Urban,City
12,Roger,Sims,Urban,1981-01-24,2738 Sunny Glen Lane,Shaker Heights,OH,US,44120,694.0,Bronze Member,L,Bronze,City Folk,Urban,City
230,Alexis,Kelley,Rural,1970-02-21,4069 Southern Avenue,Knoxville,IA,US,50138,770.0,bronze from the beg,,Bronze,Rural,Rural,Outlying Areas
23,Edward,Vanderpool,Rural,1988-10-07,1340 Pick Street,Telluride,CO,US,81435,599.0,Bronze Member,S,Bronze,Rural,Rural,Outlying Areas
324,Scott,Mungia,Urban,1971-03-14,1576 Massachusetts Avenue,Washington,DC,US,20024,522.0,Silver Sign Up,N,Silver,City Folk,Urban,City
79,Ines,Mendivil,Urban,1986-05-16,1379 Ethels Lane,Lakeland,FL,US,33813,712.0,Sign Up Silver,W,Silver,City Folk,Urban,City
248,Chelsey,Hernandez,Rural,1941-01-28,2264 Fantages Way,Salem,ME,US,4983,627.0,Choice Golden Member,O,Gold,Rural,Rural,Outlying Areas
73,Paul,Barrett,Urban,,4170 Parrish Avenue,Salinas,CA,US,93901,540.0,Silver Sign Up,T,Silver,City Folk,Urban,City
475,William,Ayers,Urban,1986-05-24,890 Westwood Avenue,Long Island City,NY,US,11101,789.0,Sign Up gold,,Gold,City Folk,Urban,City
336,Ann,Ellis,Urban,1957-11-02,531 Rockford Road,Worcester,MA,US,1608,449.0,Silver Sign Up,A,Silver,City Folk,Urban,City
19,John,Wilson,Urban,,265 Owagner Lane,Tukwila,WA,US,98168,541.0,Bronze Member,J,Bronze,City Folk,Urban,City
281,Stacy,Scott,Urban,1946-06-30,686 Poplar Avenue,San Diego,CA,US,92103,758.0,Sign Up Bronzed,V,Bronze,City Folk,Urban,City
125,Heather,Britt,Urban,1954-01-27,613 Jefferson Street,Norfolk,VA,US,23502,750.0,Silver Sign Up,R,Silver,City Folk,Urban,City
443,Gerald,Gagne,,1972-01-23,1978 Flint Street,Saipan,MP,US,96950,657.0,Silver Sign Up,,Silver,,,
249,Anthony,Lavigne,Urban,1990-09-15,3544 Oliverio Drive,Wichita,KS,US,67202,692.0,Sign Up gold,T,Gold,City Folk,Urban,City
40,Helen,Perry,Urban,1976-04-11,1939 Mahlon Street,Red Bank,NJ,US,7701,1712.0,bronze from the beg,R,Bronze,City Folk,Urban,City
461,Kenneth,Ray,Rural,1984-06-18,2536 Peck Street,Sutton,NH,US,3221,531.0,Silver Sign Up,J,Silver,Rural,Rural,Outlying Areas
47,Charles,Stewart,Urban,1951-10-17,747 Ersel Street,Dallas,TX,US,75216,772.0,Choice Golden Member,D,Gold,City Folk,Urban,City
302,Irene,Shanks,Urban,1968-09-07,1195 John Calvin Drive,Chicago,IL,US,60605,756.0,Sign Up gold,,Gold,City Folk,Urban,City
196,Linda,Peebles,Urban,1987-11-26,1423 Irving Place,Fenton,MO,US,63026,785.0,Sign Up gold,P,Gold,City Folk,Urban,City
359,Jacqueline,Griffen,Urban,1951-10-23,542 Liberty Street,Dallas,TX,US,75204,722.0,Silver Sign Up,,Silver,City Folk,Urban,City
105,Cathy,Lawson,Urban,1980-11-03,1177 Archwood Avenue,Casper,WY,US,82601,772.0,Sign Up Bronzed,C,Bronze,City Folk,Urban,City
282,Jo,Thomas,Rural,1960-10-02,852 Gregory Lane,Campbellsburg,KY,US,40011,769.0,silver from the StartBronze Sign Up,J,Silver,Rural,Rural,Outlying Areas
149,Damon,Clark,Urban,1964-11-17,3061 Patterson Fork Road,Chicago,IL,US,60654,662.0,Silver Sign Up,C,Silver,City Folk,Urban,City
156,Lisa,Mills,Urban,1969-05-05,4525 Spruce Drive,Portland,PA,US,97205,710.0,silver from the StartBronze Sign Up,S,Silver,City Folk,Urban,City
447,Mathew,Candelaria,Urban,1991-10-15,2276 Raccoon Run,Seattle,WA,US,98122,727.0,Silver Sign Up,L,Silver,City Folk,Urban,City
183,Travis,Payne,Urban,1892-11-30,46 Cityview Drive,Bryn Mawr,PA,US,19010,713.0,Always Gold,A,Gold,City Folk,Urban,City
70,Reuben,Pyburn,Urban,,2927 Crim Lane,Cario,OH,US,45820,668.0,Gold Sign Up,H,Gold,City Folk,Urban,City
245,Richard,Marquez,Rural,1991-03-22,4989 Moonlight Drive,Hammonton,NJ,US,8037,1724.0,silver from the StartBronze Sign Up,,Silver,Rural,Rural,Outlying Areas
299,Robert,Trask,Urban,1941-03-23,4905 Worley Avenue,Lynchburg,VA,US,24551,826.0,Always Gold,D,Gold,City Folk,Urban,City
413,Ruth,Arvidson,Urban,1973-04-05,1457 Rubaiyat Road,Grand Rapids,MI,US,49503,729.0,silver from the StartBronze Sign Up,C,Silver,City Folk,Urban,City
303,Amanda,Palmer,Urban,,4899 Briarhill Lane,Akron,OH,US,44311,695.0,Choice Golden Member,G,Gold,City Folk,Urban,City
494,James,Bright,,1984-02-05,3408 Berkley Street,Newark,PA,US,19714,580.0,Sign Up gold,M,Gold,,,
181,Lois,Wright,Urban,1937-09-29,3999 Lincoln Street,Egg Harbor,NJ,US,8232,1679.0,bronze from the beg,D,Bronze,City Folk,Urban,City
375,Chelsea,Knight,Urban,1952-04-19,1445 Granville Lane,Lyndhurst,NJ,US,7071,1462.0,Sign Up Silver,,Silver,City Folk,Urban,City
133,Michael,Rasmussen,Urban,1991-01-15,1305 Hickory Heights Drive,Hanover,MD,US,21076,662.0,Silver Sign Up,K,Silver,City Folk,Urban,City
342,Florence,Clark,Urban,1982-11-10,3825 Nixon Avenue,Knoxville,TN,US,37917,796.0,silver from the StartBronze Sign Up,A,Silver,City Folk,Urban,City
438,John,Berman,Urban,1942-01-13,2151 Seneca Drive,Tigard,OR,US,97223,471.0,Always Gold,D,Gold,City Folk,Urban,City
177,Josie,Powell,Urban,1996-07-08,284 Oakmound Road,Chicago,IL,US,60605,690.0,Gold Sign Up,,Gold,City Folk,Urban,City
311,Paul,Hight,*Missing*,1945-01-05,974 Dovetail Drive,Des Plaines,IL,US,60016,776.0,Bronze Member,J,Bronze,*Missing*,,
350,Lynette,Ensign,Urban,1990-10-15,260 Cook Hill Road,East Haven,CT,US,6512,468.0,Sign Up gold,,Gold,City Folk,Urban,City
486,Kyung,Petersen,Rural,1976-01-08,1785 Marcus Street,Geraldine,AL,US,35974,679.0,Gold Sign Up,B,Gold,Rural,Rural,Outlying Areas
138,Megan,Berry,*unknown*,1952-06-12,223 Oak Street,Canton,NY,US,13617,619.0,Sign Up Silver,J,Silver,*unknown*,,
498,Boyd,Eason,Rural,1958-03-20,3103 Mercer Street,Peshtigo,WI,US,54157,744.0,Gold Sign Up,J,Gold,Rural,Rural,Outlying Areas
272,Ruth,Dupont,*Missing*,1995-05-09,378 Roguski Road,Alexandria,LA,US,71301,601.0,Choice Golden Member,R,Gold,*Missing*,,
441,Robert,Brown,Urban,1839-10-30,3358 Medical Center Drive,Tampa,FL,US,33602,677.0,Sign Up gold,J,Gold,City Folk,Urban,City
354,Kenneth,Riddle,Urban,1969-02-15,2275 Franklee Lane,Philadelphia,PA,US,19107,583.0,silver from the StartBronze Sign Up,P,Silver,City Folk,Urban,City
87,Lauren,Mendez,Urban,,4183 Cook Hill Road,New Haven,CT,US,6511,629.0,Sign Up gold,S,Gold,City Folk,Urban,City
76,Teresa,Sand,Urban,1952-02-22,454 Pratt Avenue,Redmond,WA,US,98052,551.0,Always Gold,J,Gold,City Folk,Urban,City
448,Norbert,Solis,Urban,1938-08-14,3040 Raccoon Run,Seattle,WA,US,98109,775.0,Choice Golden Member,M,Gold,City Folk,Urban,City
16,Michael,Webb,*Missing*,1959-10-12,2815 Argonne Street,Felton,DE,US,19943,,bronze from the beg,D,Bronze,*Missing*,,
204,Eddie,Gann,Urban,1938-06-07,282 Adonais Way,Atlanta,GA,US,30310,682.0,Bronze Member,N,Bronze,City Folk,Urban,City
275,Orlando,Gentry,Rural,1986-02-10,3352 Primrose Lane,Yuba,WI,US,54634,816.0,Gold Sign Up,M,Gold,Rural,Rural,Outlying Areas
394,James,Adams,Urban,1971-05-15,3469 Pinchelone Street,Norfolk,VA,US,23502,458.0,bronze from the beg,B,Bronze,City Folk,Urban,City
20,Woodrow,Payne,Urban,1944-08-22,1011 Tyler Avenue,Hialeah,FL,US,33012,564.0,Sign Up Bronzed,S,Bronze,City Folk,Urban,City
454,Scott,Ek,Rural,1978-12-12,930 Drainer Avenue,Marianna,FL,US,32448,834.0,bronze from the beg,D,Bronze,Rural,Rural,Outlying Areas
339,Marion,Chapman,Rural,1978-11-27,500 Sigley Road,Marysville,KS,US,66508,744.0,Always Gold,M,Gold,Rural,Rural,Outlying Areas
57,Mitzi,Nickols,Urban,1984-11-25,1852 Asylum Avenue,New York,CT,US,10013,665.0,Sign Up Bronzed,R,Bronze,City Folk,Urban,City
334,Kimberly,Goldberg,Urban,1963-06-28,3401 Milford Street,Portsmouth,NH,US,3801,652.0,Sign Up Bronzed,M,Bronze,City Folk,Urban,City
2,Aaron,McWhorter,Urban,1997-11-19,2746 Michigan Ave,Gibsonia,PA,US,15044,704.0,Bronze Member,P,Bronze,City Folk,Urban,City
239,William,James,Urban,1947-02-09,2542 Junior Avenue,Norcross,GA,US,30093,631.0,Silver Sign Up,K,Silver,City Folk,Urban,City
406,Dave,Goodwin,,1952-04-04,1142 Bartlett Avenue,Birmingham,MI,US,48011,795.0,Sign Up gold,J,Gold,,,
308,Neil,Kim,Urban,1994-05-30,4808 Reppert Coal Road,Ridgeland,MS,US,39157,573.0,bronze from the beg,L,Bronze,City Folk,Urban,City
469,Karen,Cain,Urban,1972-03-12,3202 Spring Street,Champaign,IL,US,61820,655.0,Gold Sign Up,R,Gold,City Folk,Urban,City
432,Peter,Bryan,Urban,1996-02-21,1076 White Oak Drive,Raytown,MO,US,64133,635.0,Bronze Member,S,Bronze,City Folk,Urban,City
490,Eric,Hardy,Rural,1986-02-17,1062 Kessla Way,Conway,SC,US,29527,599.0,silver from the StartBronze Sign Up,H,Silver,Rural,Rural,Outlying Areas
26,Jeffrey,Barton,Urban,1998-03-31,749 Nelm Street,Saint Louis,MO,US,63101,765.0,bronze from the beg,K,Bronze,City Folk,Urban,City
366,Stanley,Snow,*unknown*,1970-03-05,1687 Pearl Street,Rancho Cordova,CA,US,95742,681.0,Choice Golden Member,R,Gold,*unknown*,,
43,Vickie,Sanchez,Urban,1971-08-27,699 Vesta Drive,Chicago,IL,US,60640,590.0,Always Gold,R,Gold,City Folk,Urban,City
141,James,Mascarenas,,1942-11-11,1228 Pine Garden Lane,Alpharetta,GA,US,30201,661.0,Bronze Member,E,Bronze,,,
419,Frederick,Cassity,Urban,1962-12-03,1150 Snider Street,Centennial,CO,US,80112,736.0,bronze from the beg,J,Bronze,City Folk,Urban,City
317,Matthew,Holmes,Urban,1981-05-19,3474 Richland Avenue,Tomball,TX,US,77375,706.0,Gold Sign Up,J,Gold,City Folk,Urban,City
127,Sara,Mills,Urban,,3450 Hickory Lane,Washington,DC,US,20020,660.0,Silver Sign Up,,Silver,City Folk,Urban,City
333,Edith,Strout,Urban,1939-10-28,2449 Memory Lane,Dekalb,IL,US,60115,572.0,silver from the StartBronze Sign Up,F,Silver,City Folk,Urban,City
32,Timothy,Roberts,Urban,1960-10-08,4073 Woodland Terrace,Sacramento,CA,US,95814,628.0,Always Gold,,Gold,City Folk,Urban,City
114,Henry,Thomas,Urban,1984-11-28,4586 Adams Avenue,Frederick,MD,US,21701,697.0,Silver Sign Up,N,Silver,City Folk,Urban,City
154,Kenneth,Wilson,Urban,1955-02-23,2639 Woodland Terrace,Sacramento,CA,US,95827,565.0,Choice Golden Member,J,Gold,City Folk,Urban,City
212,Amy,O'Donnell,Urban,1964-06-20,4715 Emily Renzelli Boulevard,San Jose,CA,US,95113,807.0,bronze from the beg,J,Bronze,City Folk,Urban,City
423,Christopher,Lancaster,Urban,1948-01-19,4149 Upton Avenue,Waterville,ME,US,4901,441.0,Sign Up gold,,Gold,City Folk,Urban,City
58,Samuel,Wheeler,Urban,1945-09-08,4339 Elk Rd Little,Tucson,AZ,US,85706,544.0,Sign Up Bronzed,,Bronze,City Folk,Urban,City
267,Ruth,Ramsey,Rural,1947-05-31,3793 Berry Street,Saguache,CO,US,81149,690.0,Choice Golden Member,D,Gold,Rural,Rural,Outlying Areas
25,Leslie,Adair,Urban,1982-11-03,2035 Seltice Way,Boise,ID,US,83702,756.0,Bronze Member,L,Bronze,City Folk,Urban,City
18,Barbara,Edwards,*Missing*,1938-12-12,412 Ashwood Drive,Spencer,IA,US,51301,662.0,silver from the StartBronze Sign Up,N,Silver,*Missing*,,
186,Shannon,Gonzales,Rural,1955-03-13,1432 Glory Road,Ethridge,TN,US,38456,729.0,Sign Up gold,S,Gold,Rural,Rural,Outlying Areas
67,Denver,Harkins,Urban,1954-05-12,104 Cedar Street,Pine Bluff,AR,US,71601,688.0,Sign Up gold,S,Gold,City Folk,Urban,City
403,Earl,Perry,Urban,1949-12-12,3892 Winifred Way,Bunker Hill,IN,US,46914,465.0,Sign Up Silver,P,Silver,City Folk,Urban,City
397,Lawrence,Myers,Urban,1943-10-29,1423 Fairfax Drive,Los Angeles,CA,US,90017,617.0,Bronze Member,N,Bronze,City Folk,Urban,City
95,Mabel,Ashley,Urban,1983-07-15,1617 Lauren Drive,Madison,WI,US,53703,,Sign Up gold,T,Gold,City Folk,Urban,City
497,Julie,Rice,Urban,1960-09-06,3366 Rosebud Avenue,Little Rock,AR,US,72212,788.0,Silver Sign Up,A,Silver,City Folk,Urban,City
355,Mike,Rainbolt,Urban,1953-08-04,2922 Lynn Ogden Lane,Beaumont,TX,US,77701,680.0,Bronze Member,G,Bronze,City Folk,Urban,City
24,Frances,Kasten,Urban,1942-11-18,3759 Late Avenue,Oklahoma City,OK,US,73129,696.0,Bronze Member,J,Bronze,City Folk,Urban,City
232,Perry,Duhon,Rural,1994-10-14,1925 Locust Street,Pavo,GA,US,31778,659.0,silver from the StartBronze Sign Up,,Silver,Rural,Rural,Outlying Areas
266,Allison,Donovan,Urban,1991-12-23,3105 White Oak Drive,Kansas City,MO,US,64108,602.0,Sign Up Bronzed,J,Bronze,City Folk,Urban,City
209,Rebecca,Donelson,Urban,1958-01-28,2784 Joy Lane,Sherman Oaks,CA,US,91403,781.0,Silver Sign Up,D,Silver,City Folk,Urban,City
117,Patricia,Rash,Urban,1961-10-12,2275 Winding Way,Providence,RI,US,2906,713.0,Always Gold,H,Gold,City Folk,Urban,City
46,Shawn,Curtis,Urban,1954-12-15,2458 Hillview Street,Columbia,SC,US,29201,634.0,bronze from the beg,J,Bronze,City Folk,Urban,City
395,Felix,Lawson,Rural,1987-08-28,2539 Simons Hollow Road,Huntington Mills,PA,US,18622,670.0,Choice Golden Member,S,Gold,Rural,Rural,Outlying Areas
17,James,Phillips,Rural,1962-11-07,3758 Graystone Lakes,Milledgeville,GA,US,31061,627.0,Always Gold,G,Gold,Rural,Rural,Outlying Areas
473,John,Hick,Urban,1944-04-23,4038 Deans Lane,New York,NY,US,10011,631.0,bronze from the beg,,Bronze,City Folk,Urban,City
462,Buddy,Easley,Rural,1893-04-08,3517 Cedar Street,Dierks,AR,US,71833,732.0,Sign Up Silver,N,Silver,Rural,Rural,Outlying Areas
4,Philip,Hogan,Urban,1946-07-11,2898 Chatham Way,Chantilly,MD,US,20151,596.0,Sign Up Bronzed,K,Bronze,City Folk,Urban,City
228,Angel,Martinelli,Urban,1956-03-17,1105 Lakewood Drive,Secaucus,NJ,US,7094,1758.0,Sign Up Silver,E,Silver,City Folk,Urban,City
483,Linda,Hardin,Urban,1939-11-02,4253 Matthews Street,Coal City,IL,US,60416,662.0,Bronze Member,B,Bronze,City Folk,Urban,City
61,Robert,Samples,Urban,1960-09-15,3373 Adams Avenue,Frederick,MD,US,21701,522.0,Sign Up gold,T,Gold,City Folk,Urban,City
111,James,Nicosia,*Missing*,1855-03-14,405 Pearl Street,Sacramento,CA,US,95826,554.0,Sign Up gold,,Gold,*Missing*,,
325,Jesus,Mader,Urban,1857-12-26,1527 Rivendell Drive,Alliance,OH,US,44601,651.0,Silver Sign Up,I,Silver,City Folk,Urban,City
298,Pam,Bennett,Urban,,1732 Franklin Avenue,Corpus Christi,TX,US,78401,508.0,Sign Up gold,D,Gold,City Folk,Urban,City
30,Marisol,Frantz,Urban,,2566 Thompson Drive,Oakland,CA,US,94607,757.0,Silver Sign Up,,Silver,City Folk,Urban,City
193,Cheryl,Evans,Urban,1976-03-23,1608 Farland Street,Wheeling,IL,US,60090,708.0,Always Gold,R,Gold,City Folk,Urban,City
465,Chelsey,Batista,Urban,1972-07-09,4724 Lochmere Lane,Hartford,CT,US,6103,734.0,Gold Sign Up,G,Gold,City Folk,Urban,City
27,Patricia,Nader,,1943-10-01,2715 Arbor Court,Cheyenne,WY,US,82003,512.0,Choice Golden Member,,Gold,,,
8,Michael,Frasier,Urban,1938-07-05,3491 Commerce Boulevard,Lincoln,NE,US,68508,608.0,Always Gold,,Gold,City Folk,Urban,City
463,Wanda,Brown,Urban,1968-07-03,218 Hamilton Drive,Beaumont,TX,US,77701,544.0,Choice Golden Member,G,Gold,City Folk,Urban,City
109,Wade,Knight,Urban,1871-03-29,1399 Leisure Lane,Moorpark,CA,US,93021,695.0,Sign Up Silver,C,Silver,City Folk,Urban,City
38,Victor,Jackson,Rural,1962-07-04,3335 Arrowood Drive,Jacksonville,FL,US,32044,740.0,Bronze Member,,Bronze,Rural,Rural,Outlying Areas
158,Reginald,Johnson,Urban,1997-05-19,556 Pike Street,San Diego,CA,US,92123,667.0,Always Gold,D,Gold,City Folk,Urban,City
477,Mary,Fox,,1958-02-09,966 Sharon Lane,South Bend,IN,US,46625,703.0,Always Gold,,Gold,,,
119,Summer,Wells,Rural,1951-02-04,366 Green Acres Road,Coinjock,NC,US,27923,,Sign Up Bronzed,,Bronze,Rural,Rural,Outlying Areas
